stop_ids,stop_lat,stop_lon,stop_name
"['1500550', '1500570', '1500580', '1500590', '1500620', '1500630', '1504220', '1504230', '1504240', '1504250']",37.6966059,-122.12555230000001,Bay Fair BART Station
"['1410320', '1410330', '1410340', '1410350', '1410360', '1410370', '1410380', '1410390', '1410400', '1410410', '1410420', '1410440', '1410450', '1410460', '1410470', '1410480']",37.789879062500006,-122.3933675625,Transbay Temp Terminal
"['1008990', '1030710']",37.765009000000006,-122.1993035,International Blvd:Seminary Av
['0901150'],37.527276,-122.002267,New Park Mall:Sears
"['9901690', '9901710']",37.884472,-122.2978815,Monroe St:San Pablo Ave
"['1011290', '1011300', '1011310', '1011320', '1011330', '1011340', '1011350', '1011360', '1011370']",37.775285222222216,-122.22512977777777,Fruitvale BART Station
"['1031000', '1031010', '1031020']",37.753572,-122.19730033333333,San Leandro St:Coliseum BART Walkway
"['9802120', '9802130']",37.6847715,-122.11676399999999,Meekland Av:Paseo Grande
"['1008860', '1030770']",37.744426000000004,-122.17057750000001,International Blvd:98th Av
"['0802020', '0802030', '0802040', '0802050', '0802060', '0802070', '0802080', '0802090', '0802100', '0802120', '0802130', '0802140', '0802150', '0802170', '0805720', '9902560']",37.669771624999996,-122.08664524999998,Hayward BART Station
"['9802460', '9802470', '9802480']",37.679438,-122.12655333333333,Paseo Grande:Hesperian Blvd
"['1001220', '1001230']",37.79901,-122.2567405,1st Av:International Blvd
"['0701820', '0701830', '0701840', '0701870', '0701910', '0701920', '0701940', '0701950', '0701960', '9902000']",37.557419,-121.97562130000001,Fremont BART Station
"['9902370', '9902380']",37.8688365,-122.258826,Bancroft Way:Telegraph Av
"['1009490', '1009500', '1009510', '1009520', '1009540', '1009550']",37.76906566666667,-122.17418400000001,Eastmont Transit Center
"['1014960', '9902640']",37.800375,-122.2162055,MacArthur Blvd:Fruitvale Av
"['1502810', '1502820', '1502830', '1502840', '1502850', '1502860', '1502880']",37.721603,-122.16033514285714,San Leandro BART Station
['1000410'],37.803658,-122.276263,11th St:Jefferson St
