stop_ids,stop_lat,stop_lon,stop_name
"['5355', '5356']",37.7972795,-122.41191699999999,Mason St & Broadway
"['4021', '4820']",37.794588000000005,-122.40457599999999,Clay St & Kearny St
['6198'],37.753386,-122.401569,Rhode Island St & 24th St
['6118'],37.740885,-122.457517,Portola Dr & Rex Ave
"['3997', '3998']",37.746883,-122.426983,Church St & 27th St
"['5808', '7106']",37.7260045,-122.4643485,Ocean Ave & Victoria St
"['3537', '3538']",37.742237,-122.4242415,30th St & Dolores St
"['5080', '5081', '5458', '5459']",37.805693500000004,-122.420355,Hyde St & North Point St
"['5221', '5222', '5223', '7219']",37.7603275,-122.50907025,Judah/La Playa/Ocean Beach
"['3480', '6038', '6039']",37.75301433333333,-122.40647299999999,24th St & Potrero Ave
"['5213', '5214', '7100', '7119']",37.760559,-122.50270824999998,Judah St & 43rd Ave
"['4481', '4482', '4846']",37.78328466666667,-122.41748733333333,Eddy St & Larkin St
"['5468', '5469', '5992']",37.80519066666667,-122.423727,North Point St & Polk St
['5652'],37.77741,-122.41634,Market St & 9th St
"['6495', '6496', '6497', '6498', '6499', '6500', '7292']",37.79348142857143,-122.39350957142858,Steuart St & Mission St
"['3524', '6962']",37.7511945,-122.398471,26th St & Wisconsin St
"['3726', '6999', '7140']",37.774555666666664,-122.40488833333332,Bryant St & 7th St
"['5561', '5562']",37.755494999999996,-122.418755,Mission St & 22nd St
"['3600', '3601']",37.7399135,-122.504493,46th Ave & Ulloa St
"['3485', '3486', '6876', '6877']",37.752115,-122.42059900000001,24th St & Valencia St
['5655'],37.784082,-122.407992,Market St & 5th  St
"['5610', '5912', '5913']",37.723155999999996,-122.43576333333334,Mission St & Persia Ave
['3895'],37.792975,-122.401269,California St & SANSOME ST
"['6614', '6615']",37.743136,-122.473567,Taraval St & 17th Ave
"['7342', '7347']",37.722431,-122.395627,Third Street/Gilman/Paul
"['4027', '6051', '6052']",37.79380533333333,-122.40956066666666,Clay St & Powell St
"['3324', '4125', '4126']",37.76254133333333,-122.39744366666666,18th St & Connecticut St
['6367'],37.73026,-122.40462,San Bruno Ave & Thornton Ave
['5417'],37.784199,-122.407695,Metro Powell Station/Downtown
"['4555', '4558']",37.740976,-122.3846905,Evans Ave & Newhall St
"['3452', '6197']",37.754421,-122.401683,23rd St & Rhode Island St
"['4229', '4230', '5705', '5706']",37.7758045,-122.44648275,Fulton St & Masonic Ave
"['3256', '3257', '4307', '4308']",37.767422499999995,-122.43572750000001,14th St & Castro St
['5244'],37.747256,-122.459042,Laguna Honda Blvd & Dewey Blvd
"['3717', '5825']",37.713252999999995,-122.462458,Broad St & Orizaba Ave
['4513'],37.795105,-122.393861,THE EMBARCADERO/Ferry Building
"['5087', '6718']",37.7826345,-122.4158275,Hyde St & Turk St
"['6624', '6625']",37.742611999999994,-122.48533950000001,Taraval St & 28th Ave
['3879'],37.786248,-122.455207,California St & Maple St
"['5191', '5192']",37.7622675,-122.464247,Judah St & 7th Ave
['5546'],37.77047,-122.41978,Mission St & 13th St
"['3648', '4223', '4224']",37.77435966666667,-122.45827033333335,Arguello Blvd & Fulton St
"['6599', '6600']",37.786685500000004,-122.4285815,Sutter St & Laguna St
['6475'],37.793589,-122.395548,Spear St & Market St
"['3550', '4275']",37.779775,-122.4921195,32nd Ave & Geary Blvd
"['3163', '3165', '6693', '6694', '6695', '7000']",37.777141,-122.394883,4th St & Townsend St
['6620'],37.742872,-122.48045,Taraval St & 23rd Ave
"['6286', '6287', '6288', '6289', '7051', '7052']",37.725808,-122.44236683333334,San Jose Ave & Santa Ynez Ave
"['5198', '7083']",37.7619165,-122.4737255,Judah St & 16th Ave
"['5360', '5361']",37.8018795,-122.4128495,Mason St & Greenwich St
"['3283', '3984', '3985', '7068', '7834']",37.7644858,-122.428641,16th St & Church St
"['3157', '7169', '7366']",37.776,-122.39356300000001,4TH ST & BERRY ST
"['3455', '3456']",37.7544375,-122.40377050000001,23rd St & Vermont St
"['5119', '5120']",37.7642625,-122.4609425,Irving St & 4th Ave
"['5797', '5798', '7102']",37.724303,-122.458241,Ocean Ave & Miramar Ave
"['3162', '3164', '7235']",37.77707866666666,-122.39479933333332,4TH ST & TOWNSEND ST
"['3852', '3853']",37.786008,-122.456582,California St & Cherry St
"['3426', '5201', '7122']",37.76149366666667,-122.47993033333334,22nd Ave & Judah St
"['5638', '7264']",37.790918,-122.3991665,Market St & 1st St
['6994'],37.788791,-122.402127,Metro Montgomery Station/Outbound
"['6317', '6828', '7816']",37.79138833333334,-122.42244466666666,Sacramento St & Van Ness Ave
"['7356', '7361']",37.764315,-122.388859,Third Street & Mariposa St
"['5063', '5064', '5086']",37.806785999999995,-122.42078666666667,Hyde St & Beach St
"['3051', '3052', '3489', '3490']",37.7763005,-122.48445674999999,Balboa St & 25th Ave
"['5165', '5166', '6813', '6814']",37.794000999999994,-122.42306225,Jackson St & Van Ness Ave
"['4123', '4124']",37.7648645,-122.397723,Connecticut St & 17th St
"['3903', '6799', '7142']",37.790407,-122.42227633333334,California St & Van Ness Ave
['7283'],37.794828,-122.39377,The Embarcadero & Ferry Building
"['6628', '6629']",37.7424225,-122.489619,Taraval St & 32nd Ave
"['6201', '6202']",37.7686575,-122.4029405,Rhode Island St & Alameda St
"['4300', '5185']",37.7868145,-122.413291,Geary Blvd & Jones St
['5728'],37.76262,-122.435231,Metro Castro Station/Downtown
"['5696', '6817', '7030']",37.77521,-122.419294,Market St & Van Ness Ave
"['3931', '3932', '4684', '4685', '7552']",37.7482912,-122.4137518,Cesar Chavez St & Folsom St
"['5203', '5204', '7089']",37.761388333333336,-122.48347,Judah St & 25th Ave
['7252'],37.769392,-122.433694,Duboce St/Noe St/Duboce Park
"['3941', '3942', '4608', '4609', '7840']",37.8008712,-122.43627059999999,Chestnut St & Fillmore St
"['3896', '3897']",37.786418499999996,-122.453399,California St & Spruce St
['5253'],37.754652,-122.463798,1798 Laguna Honda Blvd
"['5349', '5350', '6360', '6361']",37.72151649999999,-122.40117975,Mansell St & San Bruno Ave
"['6992', '7217']",37.793143,-122.396431,Metro Embarcadero Station
"['5246', '5247', '7269']",37.748059000000005,-122.45887433333333,Laguna Honda Blvd/Forest Hill Sta
['7841'],37.746245,-122.419401,Mission St & Power St
"['4334', '5664', '5665', '5666', '7253']",37.762433,-122.4354304,Castro St & Market St
"['3172', '3173', '5535', '5536']",37.78279275,-122.40661625,5th St & Mission St
"['4550', '4551', '5231']",37.738717,-122.38096366666667,Evans Ave & Keith St
"['4962', '4963']",37.7692505,-122.45295999999999,Haight St & Stanyan St
"['3187', '4970']",37.777234,-122.404301,6th St & Harrison St
"['3170', '3171']",37.78134,-122.404745,5th St & Howard St
"['6954', '6955']",37.727050500000004,-122.4833045,Winston Dr & Lake Merced Blvd
"['3137', '5640', '5641']",37.787608,-122.403439,3rd St & Market St
"['3013', '7549']",37.788451,-122.40035900000001,2nd St & Stevenson St
"['4941', '4942']",37.772523,-122.4271895,Haight St & Buchanan St
"['4489', '4490']",37.7831215,-122.4190305,Eddy St & Polk St
['5730'],37.748351,-122.458623,Metro Forest Hill Station/Downtown
"['4852', '4853', '7308']",37.75850066666667,-122.46394033333333,Lawton St & 7th Ave
"['5645', '5646']",37.783640500000004,-122.408399,Market St & 5th St
['5229'],37.750834,-122.402121,Kansas St & 26th St
"['7341', '7394', '7400']",37.718815,-122.39747566666667,Third Street & Le Conte Ave
['5118'],37.764441,-122.458643,Irving St & 2nd Ave
['5726'],37.767194,-122.429168,Metro Church Station/Downtown
"['3458', '3459', '3746', '3747']",37.752810749999995,-122.409129,24th St & Bryant St
['6013'],37.741974,-122.455776,Portola Dr & Del Sur Ave
"['4888', '5631']",37.712939,-122.43299,Geneva Ave & Munich St
"['6028', '6029']",37.764528,-122.4074465,Potrero Ave & 17th St
['3297'],37.765861,-122.405515,16th St & San Bruno Ave
['5626'],37.74508,-122.4203,Mission St & Valencia St
"['5404', '5405', '6815', '6816']",37.78000825,-122.4203505,Mcallister St & Van Ness Ave
"['5160', '5161']",37.791852000000006,-122.439426,Jackson St & Scott St
"['5803', '5804', '6273', '6274', '6275', '6276', '7047', '7048']",37.722981375,-122.44477937500001,Ocean Ave & San Jose Ave
"['3899', '3900']",37.792246,-122.4075405,California St & Stockton St
"['3338', '5553', '5554']",37.762097000000004,-122.41944000000001,18th St & Mission St
