stop_ids,stop_lat,stop_lon,stop_name
['5238'],37.39564878,-121.87028961,HOSTETTER STATION (0)
"['3600', '3683', '781']",37.35621713566667,-121.81944954699999,WHITE & STORY
['5813'],37.358135,-121.832121,ALUM ROCK STATION STORAGE TRACK
['4779'],37.293043673,-121.872342901,CURTNER STATION (1)
['5235'],37.41392531,-121.9014343,GREAT MALL STATION (0)
['4805'],37.412658912,-121.929051105,CISCO STATION (1)
"['21', '22', '5706']",37.351628178333335,-121.90206926933332,1ST & MISSION
['4762'],37.408055891,-121.943997756,TASMAN STATION (1)
['5240'],37.38095849,-121.85441732,PENITENCIA CREEK STATION (0)
['4818'],37.395428162,-122.052209914,MIDDLEFIELD STATION (0)
['4801'],37.41087684,-121.941523399,BAYPOINTE STATION (0)
"['1716', '3591', '1715', '3486', '3705']",37.2780541072,-121.8344600222,MONTEREY & SENTER
"['61', '789', '762', '40', '5427']",37.339960679,-121.8427540526,KING & STORY
['4768'],37.368663848,-121.914883469,METRO/AIRPORT STATION (1)
['5245'],37.382025,-121.8554,PENITENCIA CREEK STATION (1)
['4798'],37.403554502,-121.974057768,GREAT AMERICA STATION (1)
"['500', '5540', '347']",37.399536415,-122.11015017533333,EL CAMINO & SHOWERS
"['5811', '5812', '5810', '5809', '5808', '5807', '5806', '5805', '5804', '5803', '5802', '5801']",37.327408000000005,-121.81090449999999,EASTRIDGE TRANSIT CENTER
['4754'],37.376277678,-121.92040537,KARINA COURT STATION (0)
['5248'],37.40400581,-121.88307687,CROPLEY STATION (1)
['4793'],37.408840595,-122.011180328,CROSSMAN STATION (1)
['4743'],37.311927466,-121.88480874,TAMIEN STATION (0)
['4806'],37.410531278,-121.942316918,BAYPOINTE STATION (1)
['5374'],37.32894718,-121.9035113,DIRIDON STATION (0)
['4748'],37.336006,-121.890306,SANTA CLARA STATION (0)
['5388'],37.33036666,-121.89811631,SAN FERNANDO STATION (0)
['4735'],37.244565,-121.870711,ALMADEN STATION (1)
['4749'],37.338553,-121.892314,ST JAMES STATION (0)
['4792'],37.411325831,-122.016701633,BORREGAS STATION (1)
['4808'],37.407616297,-121.96367889,LICK MILL STATION (0)
['4803'],37.413571594,-121.917117909,I-880 STATION (0)
['4781'],37.266577732,-121.859212962,BRANHAM STATION (1)
['4811'],37.403572231,-121.989663361,REAMWOOD STATION (0)
['5023'],37.402367022,-122.033459859,MOFFETT PARK STATION (1)
['4763'],37.40118806,-121.938971915,RIVER OAKS STATION (1)
['4794'],37.402578104,-122.008638009,FAIR OAKS STATION (1)
['4796'],37.403509625,-121.98740741,REAMWOOD STATION (1)
"['3213', '609', '412', '5514', '440', '5516']",37.335853334333336,-121.89012867783333,1ST & SANTA CLARA
['4773'],37.335795858,-121.888910201,SANTA CLARA STATION (1)
['5387'],37.27917796,-121.94830663,WINCHESTER STATION (1)
['4741'],37.275293045,-121.863268615,CAPITOL STATION (0)
['4758'],37.402846894,-121.940027398,RIVER OAKS STATION (0)
['4782'],37.252767042,-121.841024582,BLOSSOM HILL STATION (1)
['4731'],37.257992959,-121.85966629,OHLONE-CHYNOWETH STATION (0)
['4769'],37.360938192,-121.9090988,GISH STATION (1)
"['874', '480', '370']",37.353525964666666,-122.014202003,WOLFE & EL CAMINO
['5384'],37.29946665,-121.93030419,BASCOM STATION (1)
['4737'],37.242731596,-121.803159131,COTTLE STATION (0)
"['3074', '624', '603']",37.324639349,-121.90008456700001,BIRD & SAN CARLOS
['4771'],37.344963721,-121.897115907,JAPANTOWN/AYER STATION (1)
['5389'],37.33024849,-121.89904461,SAN FERNANDO STATION (1)
['4778'],37.311256779,-121.884300454,TAMIEN STATION (1)
"['3026', '426', '35', '66']",37.35281187325,-121.85556279425,ALUM ROCK & KING
['4756'],37.388748863000004,-121.929741607,BONAVENTURA STATION (0)
['4814'],37.409466337,-122.011702814,CROSSMAN STATION (0)
['4809'],37.403468329,-121.974908425,GREAT AMERICA STATION (0)
['4764'],37.39408216,-121.93383732,ORCHARD STATION (1)
['5381'],37.328393,-121.903407,DIRIDON STATION (1)
['4739'],37.253149716,-121.841811246,BLOSSOM HILL STATION (0)
"['616', '3264', '5513', '5515']",37.336176763,-121.88916369025,2ND & SANTA CLARA
['4819'],37.391772631,-122.058999988,WHISMAN STATION (0)
['5236'],37.40854922,-121.89061813,MONTAGUE STATION (0)
['4802'],37.412348245,-121.92831161,CISCO STATION (0)
['5243'],37.358369,-121.832239,ALUM ROCK STATION (1)
['4790'],37.404327257,-122.049166984,BAYSHORE NASA STATION (1)
['4734'],37.253220937,-121.867031875,OAKRIDGE STATION (1)
['5247'],37.39511599,-121.86962911,HOSTETTER STATION (1)
['5250'],37.41438968,-121.90212329,GREAT MALL STATION (1)
['5375'],37.31756735,-121.91031372,RACE STATION (0)
['4777'],37.31916432,-121.889947837,VIRGINIA STATION (1)
['4746'],37.330167643,-121.889754324,CONVENTION CENTER STATION (0)
"['4836', '1563', '519', '328']",37.4439796575,-122.166304965,PALO ALTO CALTRAIN STATION
['4765'],37.387196978,-121.928714644,BONAVENTURA STATION (1)
['4817'],37.404702725,-122.049989466,BAYSHORE NASA STATION (0)
['4774'],37.333480949,-121.887188258,SAN ANTONIO STATION (1)
['4733'],37.257423011,-121.860278761,OHLONE-CHYNOWETH STATION (1)
